Date,Sales,GrowthRate
30-06-2013,178.9,-0.064253613
30-09-2013,169.2,0.054136282
31-12-2013,188.3,-0.112790642
31-03-2014,178,0.054614808
30-06-2014,190.2,-0.068273456
30-09-2014,182.9,0.038119775
31-12-2014,196.8,-0.075731934
31-03-2015,191.4,0.027474563
30-06-2015,201,-0.050386087
30-09-2015,193.4,0.038119775
31-12-2015,177.1,0.083920893
31-03-2016,200,-0.129050469
30-06-2016,201.4,-0.00695
30-09-2016,191,0.051591439
31-12-2016,179.8,0.058653927
31-03-2017,204,-0.134612294
30-06-2017,203,0.004901961
30-09-2017,194,0.044334975
31-12-2017,219,-0.128865979
31-03-2018,205,0.063926941
30-06-2018,207,-0.009756098
30-09-2018,198,0.043478261
31-12-2018,228,-0.151515152
31-03-2019,213,0.065789474
30-06-2019,219,-0.028169014
30-09-2019,211,0.03652968
31-12-2019,239,-0.132701422
31-03-2020,201,0.158995816
30-06-2020,140,0.303482587
30-09-2020,223,-0.592857143
31-12-2020,213,0.044843049
31-03-2021,186,0.126760563
30-06-2021,221,-0.188172043
30-09-2021,199,0.099547511
31-12-2021,216,-0.085427136
31-03-2022,202,0.064814815
30-06-2022,230,-0.138613861
30-09-2022,225,0.02173913
31-12-2022,239,-0.062222222
31-03-2023,236,0.012552301
30-06-2023,249,-0.055084746
30-09-2023,231,0.072289157
31-12-2023,272,-0.177489177
31-03-2024,251,0.077205882
30-06-2024,261,-0.039840637
30-09-2024,256,0.019157088
31-12-2024,291,-0.13671875
31-03-2025,269,0.075601375
30-06-2025,283,-0.05204461
30-09-2025,279,0.014134276
31-12-2025,306,-0.096774194
