Date,Sales,GrowthRate
30-06-2013,220.3,0.035958539
30-09-2013,220.7,-0.001958971
31-12-2013,258.8,-0.172466935
31-03-2014,238.6,0.078162769
30-06-2014,236,0.011026432
30-09-2014,235.8,0.000847637
31-12-2014,258.6,-0.096717667
31-03-2015,244.3,0.055093769
30-06-2015,242.6,0.007163254
30-09-2015,247.5,-0.020535001
31-12-2015,304.1,-0.228581528
31-03-2016,266.3,0.124377788
30-06-2016,270,-0.013916084
30-09-2016,280,-0.037037037
31-12-2016,322.1,-0.150225286
31-03-2017,286,0.111975207
30-06-2017,282,0.013986014
30-09-2017,270,0.042553191
31-12-2017,331,-0.225925926
31-03-2018,301,0.090634441
30-06-2018,304,-0.009966777
30-09-2018,291,0.042763158
31-12-2018,348,-0.195876289
31-03-2019,320,0.08045977
30-06-2019,324,-0.0125
30-09-2019,318,0.018518519
31-12-2019,385,-0.210691824
31-03-2020,322,0.163636364
30-06-2020,179,0.444099379
30-09-2020,332,-0.854748603
31-12-2020,337,-0.015060241
31-03-2021,294,0.127596439
30-06-2021,349,-0.18707483
30-09-2021,321,0.080229226
31-12-2021,387,-0.205607477
31-03-2022,345,0.108527132
30-06-2022,368,-0.066666667
30-09-2022,365,0.008152174
31-12-2022,415,-0.136986301
31-03-2023,416,-0.002409639
30-06-2023,406,0.024038462
30-09-2023,385,0.051724138
31-12-2023,469,-0.218181818
31-03-2024,429,0.085287846
30-06-2024,433,-0.009324009
30-09-2024,417,0.036951501
31-12-2024,509,-0.220623501
31-03-2025,464,0.088408644
30-06-2025,460,0.00862069
30-09-2025,452,0.017391304
31-12-2025,548,-0.212389381
