Date,Sales,GrowthRate
30-06-2013,22,0.153846154
30-09-2013,23,-0.045454545
31-12-2013,58.4,-1.538695652
31-03-2014,32.8,0.437884328
30-06-2014,45,-0.371948401
30-09-2014,40,0.111259161
31-12-2014,69.3,-0.731857321
31-03-2015,43.7,0.369691694
30-06-2015,51.8,-0.186410676
30-09-2015,48.2,0.070335386
31-12-2015,70.8,-0.46894991
31-03-2016,45.3,0.35933792
30-06-2016,39,0.139065263
30-09-2016,63.5,-0.626536885
31-12-2016,78.9,-0.242829921
31-03-2017,57,0.277746874
30-06-2017,65,-0.140350877
30-09-2017,68,-0.046153846
31-12-2017,86,-0.264705882
31-03-2018,63,0.26744186
30-06-2018,68,-0.079365079
30-09-2018,67,0.014705882
31-12-2018,102,-0.52238806
31-03-2019,63,0.382352941
30-06-2019,79,-0.253968254
30-09-2019,81,-0.025316456
31-12-2019,111,-0.37037037
31-03-2020,69,0.378378378
30-06-2020,96,-0.391304348
30-09-2020,97,-0.010416667
31-12-2020,125,-0.288659794
31-03-2021,94,0.248
30-06-2021,99,-0.053191489
30-09-2021,97,0.02020202
31-12-2021,135,-0.391752577
31-03-2022,72,0.466666667
30-06-2022,86,-0.194444444
30-09-2022,85,0.011627907
31-12-2022,111,-0.305882353
31-03-2023,61,0.45045045
30-06-2023,85,-0.393442623
30-09-2023,87,-0.023529412
31-12-2023,113,-0.298850575
31-03-2024,89,0.212389381
30-06-2024,98,-0.101123596
30-09-2024,87,0.112244898
31-12-2024,151.8,-0.745370592
31-03-2025,110.8,0.27027027
30-06-2025,131,-0.182231016
30-09-2025,154,-0.175572519
31-12-2025,200.2,-0.299951646
