Date,Sales,GrowthRate
30-06-2013,138.6,0.01915381
30-09-2013,149.7,-0.079646201
31-12-2013,156.2,-0.043613677
31-03-2014,157.7,-0.009815569
30-06-2014,156.9,0.005091499
30-09-2014,172.6,-0.099674973
31-12-2014,185.4,-0.074388061
31-03-2015,186.7,-0.007263381
30-06-2015,184.8,0.010133265
30-09-2015,198.6,-0.074470198
31-12-2015,214,-0.077716805
31-03-2016,207.3,0.03161686
30-06-2016,207.1,0.001026316
30-09-2016,201.7,0.026031102
31-12-2016,233.3,-0.156858234
31-03-2017,228,0.022732611
30-06-2017,228,0
30-09-2017,237,-0.039473684
31-12-2017,257,-0.084388186
31-03-2018,245,0.046692607
30-06-2018,242,0.012244898
30-09-2018,242,0
31-12-2018,272,-0.123966942
31-03-2019,254,0.066176471
30-06-2019,252,0.007874016
30-09-2019,262,-0.03968254
31-12-2019,283,-0.080152672
31-03-2020,260,0.081272085
30-06-2020,208,0.2
30-09-2020,285,-0.370192308
31-12-2020,386,-0.354385965
31-03-2021,440,-0.139896373
30-06-2021,475,-0.079545455
30-09-2021,447,0.058947368
31-12-2021,504,-0.127516779
31-03-2022,487,0.033730159
30-06-2022,489,-0.004106776
30-09-2022,494,-0.010224949
31-12-2022,565,-0.143724696
31-03-2023,554,0.019469027
30-06-2023,559,-0.009025271
30-09-2023,550,0.016100179
31-12-2023,634,-0.152727273
31-03-2024,611,0.036277603
30-06-2024,610,0.001636661
30-09-2024,621,-0.018032787
31-12-2024,744,-0.198067633
31-03-2025,713,0.041666667
30-06-2025,702,0.01542777
30-09-2025,703,-0.001424501
31-12-2025,808,-0.149359886
