Date,Sales,GrowthRate
30-06-2013,274,0.058419244
30-09-2013,291,-0.062043796
31-12-2013,366,-0.257731959
31-03-2014,312,0.147540984
30-06-2014,336,-0.076923077
30-09-2014,345,-0.026785714
31-12-2014,389,-0.127536232
31-03-2015,321,0.174807198
30-06-2015,335,-0.043613707
30-09-2015,336,-0.002985075
31-12-2015,398,-0.18452381
31-03-2016,328,0.175879397
30-06-2016,357,-0.088414634
30-09-2016,364,-0.019607843
31-12-2016,421,-0.156593407
31-03-2017,373,0.114014252
30-06-2017,415.72532,-0.114545094
30-09-2017,404,0.028204488
31-12-2017,459.27468,-0.136818515
31-03-2018,444,0.033258267
30-06-2018,448,-0.009009009
30-09-2018,443,0.011160714
31-12-2018,511,-0.153498871
31-03-2019,470,0.080234834
30-06-2019,480,-0.021276596
30-09-2019,474,0.0125
31-12-2019,559,-0.179324895
31-03-2020,455,0.186046512
30-06-2020,316,0.305494505
30-09-2020,467,-0.477848101
31-12-2020,525,-0.124197002
31-03-2021,469,0.106666667
30-06-2021,518,-0.104477612
30-09-2021,525,-0.013513514
31-12-2021,629,-0.198095238
31-03-2022,538,0.144674086
30-06-2022,600,-0.115241636
30-09-2022,590,0.016666667
31-12-2022,695,-0.177966102
31-03-2023,698,-0.004316547
30-06-2023,705,-0.010028653
30-09-2023,738,-0.046808511
31-12-2023,892,-0.208672087
31-03-2024,778,0.127802691
30-06-2024,768,0.01285347
30-09-2024,837,-0.08984375
31-12-2024,1006,-0.201911589
31-03-2025,867,0.138170974
30-06-2025,899,-0.036908881
30-09-2025,896,0.003337041
31-12-2025,1145,-0.277901786
