Date,Sales,GrowthRate
30-06-2013,315,-0.009615385
30-09-2013,292,0.073015873
31-12-2013,350,-0.198630137
31-03-2014,343,0.02
30-06-2014,340,0.008746356
30-09-2014,348,-0.023529412
31-12-2014,393,-0.129310345
31-03-2015,346,0.119592875
30-06-2015,354,-0.023121387
30-09-2015,359,-0.014124294
31-12-2015,407,-0.133704735
31-03-2016,365,0.103194103
30-06-2016,377,-0.032876712
30-09-2016,380,-0.00795756
31-12-2016,431,-0.134210526
31-03-2017,394,0.085846868
30-06-2017,447.004,-0.134527919
30-09-2017,404,0.096204956
31-12-2017,432.996,-0.071772277
31-03-2018,412,0.048490055
30-06-2018,438,-0.063106796
30-09-2018,442,-0.00913242
31-12-2018,530,-0.199095023
31-03-2019,461,0.130188679
30-06-2019,504,-0.093275488
30-09-2019,452,0.103174603
31-12-2019,567,-0.254424779
31-03-2020,513,0.095238095
30-06-2020,328,0.360623782
30-09-2020,467,-0.423780488
31-12-2020,555,-0.188436831
31-03-2021,469,0.154954955
30-06-2021,517,-0.102345416
30-09-2021,525,-0.015473888
31-12-2021,600,-0.142857143
31-03-2022,528,0.12
30-06-2022,563,-0.066287879
30-09-2022,535,0.04973357
31-12-2022,653,-0.220560748
31-03-2023,575,0.119448698
30-06-2023,630,-0.095652174
30-09-2023,628,0.003174603
31-12-2023,736,-0.171974522
31-03-2024,667,0.09375
30-06-2024,698,-0.046476762
30-09-2024,679,0.02722063
31-12-2024,790,-0.1634757
31-03-2025,730,0.075949367
30-06-2025,768,-0.052054795
30-09-2025,760,0.010416667
31-12-2025,925,-0.217105263
