Date,Sales,GrowthRate
30-06-2013,172,0.054945055
30-09-2013,168,0.023255814
31-12-2013,188,-0.119047619
31-03-2014,181,0.037234043
30-06-2014,177,0.022099448
30-09-2014,190,-0.073446328
31-12-2014,218,-0.147368421
31-03-2015,205,0.059633028
30-06-2015,197,0.03902439
30-09-2015,195,0.010152284
31-12-2015,226,-0.158974359
31-03-2016,207,0.084070796
30-06-2016,465,-1.246376812
30-09-2016,450,0.032258065
31-12-2016,511,-0.135555556
31-03-2017,475,0.070450098
30-06-2017,428,0.098727368
30-09-2017,465,-0.086183397
31-12-2017,601,-0.292248387
31-03-2018,511,0.149602552
30-06-2018,505,0.011741683
30-09-2018,492,0.025742574
31-12-2018,610,-0.239837398
31-03-2019,531,0.129508197
30-06-2019,542,-0.020715631
30-09-2019,554,-0.022140221
31-12-2019,637,-0.149819495
31-03-2020,587,0.078492936
30-06-2020,632,-0.076660988
30-09-2020,600,0.050632911
31-12-2020,705,-0.175
31-03-2021,622,0.117730496
30-06-2021,640,-0.028938907
30-09-2021,636,0.00625
31-12-2021,709,-0.114779874
31-03-2022,664,0.063469676
30-06-2022,666,-0.003012048
30-09-2022,765,-0.148648649
31-12-2022,936,-0.223529412
31-03-2023,778,0.168803419
30-06-2023,841,-0.080976864
30-09-2023,798,0.051129608
31-12-2023,1042,-0.305764411
31-03-2024,864,0.170825336
30-06-2024,908,-0.050925926
30-09-2024,938,-0.033039648
31-12-2024,1142,-0.217484009
31-03-2025,945,0.172504378
30-06-2025,990,-0.047619048
30-09-2025,985,0.005050505
31-12-2025,1284,-0.303553299
