Date,Sales,GrowthRate
30-06-2013,319,-0.035714286
30-09-2013,304,0.047021944
31-12-2013,341,-0.121710526
31-03-2014,318,0.06744868
30-06-2014,326,-0.025157233
30-09-2014,316,0.030674847
31-12-2014,331,-0.047468354
31-03-2015,312,0.057401813
30-06-2015,320,-0.025641026
30-09-2015,307,0.040625
31-12-2015,324,-0.055374593
31-03-2016,316,0.024691358
30-06-2016,323,-0.022151899
30-09-2016,310,0.040247678
31-12-2016,334,-0.077419355
31-03-2017,320,0.041916168
30-06-2017,319.38077,0.001935094
30-09-2017,313,0.019978567
31-12-2017,350.61923,-0.120189233
31-03-2018,331,0.055955944
30-06-2018,336,-0.01510574
30-09-2018,316,0.05952381
31-12-2018,353,-0.117088608
31-03-2019,336,0.04815864
30-06-2019,343,-0.020833333
30-09-2019,332,0.032069971
31-12-2019,372,-0.120481928
31-03-2020,316,0.150537634
30-06-2020,216,0.316455696
30-09-2020,334,-0.546296296
31-12-2020,340,-0.017964072
31-03-2021,309,0.091176471
30-06-2021,353,-0.142394822
30-09-2021,328,0.07082153
31-12-2021,352,-0.073170732
31-03-2022,327,0.071022727
30-06-2022,364,-0.113149847
30-09-2022,347,0.046703297
31-12-2022,375,-0.080691643
31-03-2023,375,0
30-06-2023,393,-0.048
30-09-2023,362,0.078880407
31-12-2023,414,-0.143646409
31-03-2024,393,0.050724638
30-06-2024,428,-0.089058524
30-09-2024,420,0.018691589
31-12-2024,463,-0.102380952
31-03-2025,443,0.043196544
30-06-2025,466,-0.051918736
30-09-2025,457,0.019313305
31-12-2025,499,-0.09190372
