Date,Sales,GrowthRate
30-06-2013,349,-0.011594203
30-09-2013,315,0.097421203
31-12-2013,362,-0.149206349
31-03-2014,348,0.038674033
30-06-2014,350,-0.005747126
30-09-2014,335,0.042857143
31-12-2014,363,-0.08358209
31-03-2015,345,0.049586777
30-06-2015,346,-0.002898551
30-09-2015,332,0.040462428
31-12-2015,380,-0.144578313
31-03-2016,361,0.05
30-06-2016,370,-0.024930748
30-09-2016,354,0.043243243
31-12-2016,405,-0.144067797
31-03-2017,391,0.034567901
30-06-2017,382.1,0.022762148
30-09-2017,369,0.034284219
31-12-2017,452.9,-0.227371274
31-03-2018,419,0.07485096
30-06-2018,422,-0.007159905
30-09-2018,395,0.063981043
31-12-2018,465,-0.17721519
31-03-2019,439,0.055913978
30-06-2019,440,-0.002277904
30-09-2019,426,0.031818182
31-12-2019,510,-0.197183099
31-03-2020,432,0.152941176
30-06-2020,241,0.44212963
30-09-2020,435,-0.804979253
31-12-2020,459,-0.055172414
31-03-2021,412,0.102396514
30-06-2021,474,-0.150485437
30-09-2021,439,0.073839662
31-12-2021,523,-0.191343964
31-03-2022,464,0.112810707
30-06-2022,500,-0.077586207
30-09-2022,481,0.038
31-12-2022,552,-0.147609148
31-03-2023,566,-0.025362319
30-06-2023,562,0.007067138
30-09-2023,515,0.083629893
31-12-2023,630,-0.223300971
31-03-2024,588,0.066666667
30-06-2024,602,-0.023809524
30-09-2024,570,0.053156146
31-12-2024,687,-0.205263158
31-03-2025,639,0.069868996
30-06-2025,640,-0.001564945
30-09-2025,628,0.01875
31-12-2025,749,-0.192675159
