Date,Sales,GrowthRate
30-06-2013,45,-0.216216216
30-09-2013,40,0.111111111
31-12-2013,68,-0.7
31-03-2014,45,0.338235294
30-06-2014,54,-0.2
30-09-2014,56,-0.037037037
31-12-2014,81,-0.446428571
31-03-2015,53,0.345679012
30-06-2015,60,-0.132075472
30-09-2015,62,-0.033333333
31-12-2015,91,-0.467741935
31-03-2016,53,0.417582418
30-06-2016,61,-0.150943396
30-09-2016,70,-0.147540984
31-12-2016,101,-0.442857143
31-03-2017,72,0.287128713
30-06-2017,91.37396,-0.269082778
30-09-2017,83,0.091644928
31-12-2017,90.62604,-0.09188
31-03-2018,77,0.150354578
30-06-2018,83,-0.077922078
30-09-2018,84,-0.012048193
31-12-2018,130,-0.547619048
31-03-2019,79,0.392307692
30-06-2019,96,-0.215189873
30-09-2019,97,-0.010416667
31-12-2019,143,-0.474226804
31-03-2020,82,0.426573427
30-06-2020,107,-0.304878049
30-09-2020,118,-0.102803738
31-12-2020,157,-0.330508475
31-03-2021,123,0.21656051
30-06-2021,127,-0.032520325
30-09-2021,123,0.031496063
31-12-2021,176,-0.430894309
31-03-2022,97,0.448863636
30-06-2022,114,-0.175257732
30-09-2022,111,0.026315789
31-12-2022,153,-0.378378378
31-03-2023,94,0.385620915
30-06-2023,119,-0.265957447
30-09-2023,130,-0.092436975
31-12-2023,166,-0.276923077
31-03-2024,133,0.198795181
30-06-2024,136,-0.022556391
30-09-2024,127,0.066176471
31-12-2024,222,-0.748031496
31-03-2025,162,0.27027027
30-06-2025,183,-0.12962963
30-09-2025,203,-0.109289617
31-12-2025,267,-0.315270936
