Date,Sales,GrowthRate
30-06-2013,266,0
30-09-2013,277,-0.041353383
31-12-2013,307,-0.108303249
31-03-2014,288,0.061889251
30-06-2014,298,-0.034722222
30-09-2014,309,-0.036912752
31-12-2014,335,-0.084142395
31-03-2015,313,0.065671642
30-06-2015,309,0.012779553
30-09-2015,318,-0.029126214
31-12-2015,351,-0.103773585
31-03-2016,327,0.068376068
30-06-2016,328,-0.003058104
30-09-2016,343,-0.045731707
31-12-2016,366,-0.067055394
31-03-2017,352,0.038251366
30-06-2017,348,0.01041108
30-09-2017,367,-0.053582568
31-12-2017,411,-0.118977384
31-03-2018,389,0.052755204
30-06-2018,387,0.005141388
30-09-2018,376,0.028423773
31-12-2018,428,-0.138297872
31-03-2019,396,0.074766355
30-06-2019,394,0.005050505
30-09-2019,407,-0.032994924
31-12-2019,442,-0.085995086
31-03-2020,392,0.113122172
30-06-2020,330,0.158163265
30-09-2020,430,-0.303030303
31-12-2020,570,-0.325581395
31-03-2021,640,-0.122807018
30-06-2021,674,-0.053125
30-09-2021,639,0.051928783
31-12-2021,711,-0.112676056
31-03-2022,685,0.036568214
30-06-2022,676,0.013138686
30-09-2022,672,0.00591716
31-12-2022,774,-0.151785714
31-03-2023,769,0.006459948
30-06-2023,766,0.00390117
30-09-2023,752,0.018276762
31-12-2023,860,-0.143617021
31-03-2024,830,0.034883721
30-06-2024,832,-0.002409639
30-09-2024,849,-0.020432692
31-12-2024,996,-0.173144876
31-03-2025,945,0.051204819
30-06-2025,957,-0.012698413
30-09-2025,960,-0.003134796
31-12-2025,1086,-0.13125
