Date,Sales,GrowthRate
30-06-2018,89.81,0.057558701
30-09-2018,87.973,-0.020454292
31-12-2018,75.708,-0.139417776
31-03-2019,80.252,0.060020077
30-06-2019,85.723,0.068172756
30-09-2019,87.123,0.016331673
31-12-2019,85.315,-0.02075227
31-03-2020,75.702,-0.112676552
30-06-2020,64.867,-0.143126998
30-09-2020,75.647,0.166186196
31-12-2020,86.077,0.137877246
31-03-2021,84.857,-0.014173356
30-06-2021,95.426,0.124550715
30-09-2021,97.074,0.017269926
31-12-2021,102.783,0.058810804
31-03-2022,86.957,-0.153974879
30-06-2022,104.695,0.203985878
30-09-2022,97.608,-0.067691867
31-12-2022,99.63,0.020715515
31-03-2023,93.332,-0.063213891
30-06-2023,100.842,0.080465435
30-09-2023,97.612,-0.032030305
31-12-2023,98.171,0.005726755
31-03-2024,96.352,-0.018528893
30-06-2024,102.491,0.063714298
30-09-2024,101.154,-0.013045048
31-12-2024,95.288,-0.057990786
31-03-2025,86.594,-0.091239191
30-06-2025,96.4,0.113241102
30-09-2025,101.4,0.05186722
