Date,Sales,GrowthRate
30-06-2018,77.179,-0.143806439
30-09-2018,79.404,0.028829086
31-12-2018,180.838,1.277441942
31-03-2019,103.184,-0.42941196
30-06-2019,104.785,0.015515971
30-09-2019,106.883,0.02002195
31-12-2019,112.711,0.054526913
31-03-2020,99.931,-0.113387336
30-06-2020,82.594,-0.173489708
30-09-2020,93.187,0.128253868
31-12-2020,106.723,0.145256313
31-03-2021,96.173,-0.098854043
30-06-2021,112.082,0.165420648
30-09-2021,104.304,-0.069395621
31-12-2021,114.941,0.101980749
31-03-2022,96.859,-0.157315492
30-06-2022,114.342,0.180499489
30-09-2022,108.738,-0.049010862
31-12-2022,125.079,0.150278651
31-03-2023,116.897,-0.065414658
30-06-2023,124.78,0.067435435
30-09-2023,134.089,0.074603302
31-12-2023,135.668,0.011775761
31-03-2024,134.665,-0.007393048
30-06-2024,141.157,0.048208517
30-09-2024,149.865,0.061690175
31-12-2024,160.37,0.07009642
31-03-2025,137.559,-0.14223982
30-06-2025,170,0.235833352
30-09-2025,266.4,0.567058824
