Date,Sales,GrowthRate
30-06-2018,52.594,0.146988267
30-09-2018,54.838,0.042666464
31-12-2018,67.431,0.229640031
31-03-2019,54.238,-0.195651852
30-06-2019,56.428,0.040377595
30-09-2019,55.444,-0.017438151
31-12-2019,54.607,-0.015096313
31-03-2020,63.389,0.160821873
30-06-2020,55.832,-0.119216268
30-09-2020,49.399,-0.115220662
31-12-2020,51.626,0.045081884
31-03-2021,53.489,0.036086468
30-06-2021,60.956,0.139598796
30-09-2021,64.083,0.051299298
31-12-2021,67.153,0.047906621
31-03-2022,57.656,-0.141423317
30-06-2022,70.003,0.214149438
30-09-2022,71.288,0.018356356
31-12-2022,73.677,0.033511952
31-03-2023,76.997,0.045061552
30-06-2023,84.128,0.092613998
30-09-2023,82.309,-0.021621814
31-12-2023,82.574,0.003219575
31-03-2024,87.697,0.062041321
30-06-2024,88.825,0.01286247
30-09-2024,82.558,-0.070554461
31-12-2024,85.431,0.034799777
31-03-2025,63.884,-0.252215238
30-06-2025,78.7,0.231920356
30-09-2025,80.4,0.021601017
