Date,Sales,GrowthRate
30-06-2018,111.516,0.181776756
30-09-2018,105.84,-0.050898526
31-12-2018,35.553,-0.664087302
31-03-2019,85.563,1.406632352
30-06-2019,88.402,0.03318023
30-09-2019,83.938,-0.050496595
31-12-2019,89.369,0.064702519
31-03-2020,91.738,0.026508073
30-06-2020,91.414,-0.003531797
30-09-2020,86.02,-0.059006279
31-12-2020,98.085,0.14025808
31-03-2021,81.683,-0.167222307
30-06-2021,86.842,0.063158797
30-09-2021,83.376,-0.039911564
31-12-2021,84.684,0.015687968
31-03-2022,69.512,-0.179160172
30-06-2022,72.135,0.037734492
30-09-2022,69.914,-0.030789492
31-12-2022,73.587,0.052535973
31-03-2023,71.653,-0.026281816
30-06-2023,75.952,0.059997488
30-09-2023,76.033,0.001066463
31-12-2023,68.264,-0.102179317
31-03-2024,52.515,-0.230707254
30-06-2024,41.705,-0.205845949
30-09-2024,54.761,0.313055988
31-12-2024,58.241,0.063548876
31-03-2025,53.513,-0.081179925
30-06-2025,59.9,0.119354176
30-09-2025,79.1,0.320534224
