Date,Sales,GrowthRate
30-06-2018,90.489,0.056855211
30-09-2018,89.91,-0.006398568
31-12-2018,104.054,0.157312868
31-03-2019,86.719,-0.16659619
30-06-2019,95.57,0.102065291
30-09-2019,92.621,-0.030856963
31-12-2019,95.164,0.027455977
31-03-2020,75.432,-0.207347316
30-06-2020,67.275,-0.10813713
30-09-2020,82.223,0.222192493
31-12-2020,92.27,0.122192087
31-03-2021,80.386,-0.128795925
30-06-2021,98.185,0.221419153
30-09-2021,92.831,-0.054529714
31-12-2021,106.354,0.14567332
31-03-2022,89.702,-0.15657145
30-06-2022,99.642,0.110811353
30-09-2022,93.124,-0.065414183
31-12-2022,110.449,0.186042266
31-03-2023,99.023,-0.103450461
30-06-2023,105.953,0.069983741
30-09-2023,112.805,0.064670184
31-12-2023,109.578,-0.028606888
31-03-2024,105.524,-0.036996477
30-06-2024,111.304,0.054774269
30-09-2024,111.746,0.003971106
31-12-2024,121.908,0.090938378
31-03-2025,105.785,-0.132255471
30-06-2025,114,0.077657513
30-09-2025,122.9,0.078070175
