Date,Sales,GrowthRate
30-06-2018,47.674,0.127044917
30-09-2018,48.995,0.027709024
31-12-2018,151.48,2.091744056
31-03-2019,59.731,-0.605683919
30-06-2019,67.952,0.137633725
30-09-2019,73.629,0.083544267
31-12-2019,89.137,0.210623531
31-03-2020,74.194,-0.167640823
30-06-2020,40.094,-0.459605898
30-09-2020,81.773,1.0395321
31-12-2020,93.961,0.149046751
31-03-2021,73.364,-0.219207969
30-06-2021,92.243,0.257333297
30-09-2021,83.107,-0.099042746
31-12-2021,92.947,0.118401579
31-03-2022,74.895,-0.19421821
30-06-2022,79.818,0.065732025
30-09-2022,78.969,-0.010636698
31-12-2022,89.15,0.128924008
31-03-2023,75.378,-0.154481211
30-06-2023,77.819,0.032383454
30-09-2023,73.622,-0.053932844
31-12-2023,92.966,0.262747548
31-03-2024,79.742,-0.142245552
30-06-2024,83.104,0.042160969
30-09-2024,83.395,0.003501637
31-12-2024,84.851,0.01745908
31-03-2025,70.967,-0.163628007
30-06-2025,76.4,0.076556709
30-09-2025,71.8,-0.060209424
