Date,Sales,GrowthRate
30-06-2018,140.604,-0.023773155
30-09-2018,142.712,0.014992461
31-12-2018,173.53,0.215945401
31-03-2019,143.897,-0.170765862
30-06-2019,153.647,0.067756798
30-09-2019,148.681,-0.032320839
31-12-2019,154.649,0.040139628
31-03-2020,150.256,-0.028406262
30-06-2020,164.958,0.097846342
30-09-2020,160.052,-0.029740904
31-12-2020,182.437,0.139860795
31-03-2021,163.973,-0.10120754
30-06-2021,167.739,0.022967196
30-09-2021,175.476,0.04612523
31-12-2021,193.052,0.100161845
31-03-2022,166.134,-0.139433935
30-06-2022,163.907,-0.013404842
30-09-2022,167.147,0.019767307
31-12-2022,186.424,0.11532962
31-03-2023,177.652,-0.047054027
30-06-2023,173.785,-0.021767275
30-09-2023,169.919,-0.022245879
31-12-2023,186.688,0.098688198
31-03-2024,181.354,-0.028571735
30-06-2024,181.105,-0.001373005
30-09-2024,180.896,-0.001154027
31-12-2024,189.32,0.046568194
31-03-2025,182.367,-0.036726178
30-06-2025,185.5,0.017179643
30-09-2025,191,0.029649596
