Date,Sales,GrowthRate
30-06-2013,338.4,0.022974607
30-09-2013,308.3,-0.088947991
31-12-2013,353,0.144988647
31-03-2014,331.7,-0.060339943
30-06-2014,341,0.028037383
30-09-2014,315.6,-0.074486804
31-12-2014,338.1,0.071292776
31-03-2015,312.2,-0.076604555
30-06-2015,307.4,-0.01537476
30-09-2015,434.5,0.413467794
31-12-2015,470,0.081703107
31-03-2016,467.9,-0.004468085
30-06-2016,477.2,0.019876042
30-09-2016,440.6,-0.076697402
31-12-2016,482.2,0.094416704
31-03-2017,475,-0.014931564
30-06-2017,468,-0.014736842
30-09-2017,434,-0.072649573
31-12-2017,499,0.149769585
31-03-2018,492,-0.014028056
30-06-2018,486.9,-0.010365854
30-09-2018,444.8,-0.086465393
31-12-2018,497.3,0.118030576
31-03-2019,484.2,-0.026342248
30-06-2019,479.5,-0.009706733
30-09-2019,460.2,-0.040250261
31-12-2019,510.4,0.109083007
31-03-2020,432.6,-0.152429467
30-06-2020,329.7,-0.237864078
30-09-2020,484.1,0.468304519
31-12-2020,504.1,0.041313778
31-03-2021,447,-0.113271176
30-06-2021,474.6,0.061744966
30-09-2021,453.8,-0.04382638
31-12-2021,480.7,0.059277215
31-03-2022,451,-0.061784897
30-06-2022,487.2,0.080266075
30-09-2022,468,-0.039408867
31-12-2022,488.7,0.044230769
31-03-2023,492.8,0.008389605
30-06-2023,504.3,0.023336039
30-09-2023,465.3,-0.07733492
31-12-2023,504.8,0.084891468
31-03-2024,491.2,-0.026941363
30-06-2024,506.5,0.031148208
30-09-2024,481.5,-0.049358342
31-12-2024,519.9,0.079750779
31-03-2025,495.8,-0.046355068
30-06-2025,536.1,0.081282775
30-09-2025,506.2,-0.055773177
31-12-2025,555.4,-0.097194785
