Date,Sales,GrowthRate
30-06-2013,481,0.021231423
30-09-2013,434.5,-0.096673597
31-12-2013,523.4,0.204602992
31-03-2014,487.9,-0.067825755
30-06-2014,497.9,0.020496003
30-09-2014,461.4,-0.073307893
31-12-2014,518.6,0.123970524
31-03-2015,488,-0.059005013
30-06-2015,475.8,-0.025
30-09-2015,632,0.328289197
31-12-2015,712,0.126582278
31-03-2016,703.3,-0.012219101
30-06-2016,696.9,-0.009099957
30-09-2016,631.3,-0.094131152
31-12-2016,721,0.142087755
31-03-2017,702,-0.026352288
30-06-2017,680,-0.031339031
30-09-2017,624,-0.082352941
31-12-2017,731,0.171474359
31-03-2018,713.3,-0.024213406
30-06-2018,703,-0.014439927
30-09-2018,627.9,-0.106827881
31-12-2018,729.8,0.162286988
31-03-2019,694.1,-0.048917512
30-06-2019,703.5,0.013542717
30-09-2019,651.9,-0.073347548
31-12-2019,760.6,0.166743366
31-03-2020,628.7,-0.173415724
30-06-2020,375,-0.403531096
30-09-2020,648.5,0.729333333
31-12-2020,726.1,0.119660756
31-03-2021,614.3,-0.153973282
30-06-2021,665.6,0.083509686
30-09-2021,647.9,-0.026592548
31-12-2021,720.1,0.11143695
31-03-2022,662.8,-0.079572282
30-06-2022,704.9,0.063518407
30-09-2022,657,-0.067952901
31-12-2022,753.6,0.147031963
31-03-2023,762.5,0.011809979
30-06-2023,771.4,0.011672131
30-09-2023,706.3,-0.084392015
31-12-2023,798.2,0.130114682
31-03-2024,788.1,-0.01265347
30-06-2024,801.1,0.016495369
30-09-2024,745.1,-0.069903882
31-12-2024,839.2,0.126291773
31-03-2025,792.9,-0.055171592
30-06-2025,826,0.041745491
30-09-2025,792.4,-0.040677966
31-12-2025,911,-0.149671883
