Date,Sales,GrowthRate
31-12-2015,403.3,0.087061995
31-03-2016,401.1,-0.005454996
30-06-2016,412.4,0.028172526
30-09-2016,402.1,-0.024975752
31-12-2016,429.8,0.068888336
31-03-2017,425,-0.011167985
30-06-2017,421.1,-0.009176471
30-09-2017,407,-0.033483733
31-12-2017,454,0.115479115
31-03-2018,442.3,-0.025770925
30-06-2018,433.8,-0.019217726
30-09-2018,414.6,-0.044260028
31-12-2018,461.3,0.112638688
31-03-2019,439.9,-0.046390635
30-06-2019,357,-0.188451921
30-09-2019,437.7,0.22605042
31-12-2019,381.8,-0.127713045
31-03-2020,380.9,-0.002357255
30-06-2020,292.7,-0.231556839
30-09-2020,417.1,0.425008541
31-12-2020,434.9,0.042675617
31-03-2021,417.6,-0.03977926
30-06-2021,462.1,0.106561303
30-09-2021,437.6,-0.053018827
31-12-2021,410.5,-0.061928702
31-03-2022,416.8,0.015347138
30-06-2022,446.4,0.071017274
30-09-2022,409.4,-0.082885305
31-12-2022,424.1,0.035906204
31-03-2023,433.4,0.02192879
30-06-2023,442.7,0.021458237
30-09-2023,423.2,-0.044047888
31-12-2023,453.3,0.071124764
31-03-2024,452.6,-0.001544231
30-06-2024,469.5,0.037339814
30-09-2024,454.2,-0.032587859
31-12-2024,489.4,0.077498899
31-03-2025,470.5,-0.038618717
30-06-2025,550.6,0.170244421
30-09-2025,541.5,-0.016527425
31-12-2025,587.6,-0.085133887
