Date,Sales,GrowthRate
30-06-2013,111.8,0.119119119
30-09-2013,104.4,-0.066189624
31-12-2013,115.9,0.110153257
31-03-2014,100.8,-0.130284728
30-06-2014,100.4,-0.003968254
30-09-2014,99.5,-0.008964143
31-12-2014,109.4,0.099497487
31-03-2015,98,-0.104204753
30-06-2015,154.3,0.574489796
30-09-2015,73.6,-0.523007129
31-12-2015,85.4,0.160326087
31-03-2016,81.9,-0.040983607
30-06-2016,83.7,0.021978022
30-09-2016,79.3,-0.052568698
31-12-2016,84,0.0592686
31-03-2017,81,-0.035714286
30-06-2017,76.7,-0.05308642
30-09-2017,75.2,-0.019556714
31-12-2017,88,0.170212766
31-03-2018,79.3,-0.098863636
30-06-2018,78.8,-0.00630517
30-09-2018,72.2,-0.083756345
31-12-2018,80.7,0.117728532
31-03-2019,70,-0.132589839
30-06-2019,157.2,1.245714286
30-09-2019,67.1,-0.573155216
31-12-2019,166.8,1.485842027
31-03-2020,122.1,-0.267985612
30-06-2020,76.4,-0.374283374
30-09-2020,126.2,0.651832461
31-12-2020,148.4,0.175911252
31-03-2021,122.5,-0.174528302
30-06-2021,161.1,0.315102041
30-09-2021,146.1,-0.09310987
31-12-2021,165.9,0.135523614
31-03-2022,132.6,-0.200723327
30-06-2022,143.3,0.080693816
30-09-2022,135.4,-0.0551291
31-12-2022,158.7,0.172082718
31-03-2023,142.3,-0.103339635
30-06-2023,151.2,0.062543921
30-09-2023,158.8,0.05026455
31-12-2023,183.7,0.156801008
31-03-2024,157.3,-0.143712575
30-06-2024,164.9,0.048315321
30-09-2024,143.4,-0.13038205
31-12-2024,174.7,0.218270572
31-03-2025,149.9,-0.141957642
30-06-2025,164.6,0.098065377
30-09-2025,161.3,-0.020048603
31-12-2025,189.8,-0.176689399
