Date,Sales,GrowthRate
30-06-2015,749,0.1984
30-09-2015,732,-0.022696929
31-12-2015,916,0.25136612
31-03-2016,694,-0.242358079
30-06-2016,767,0.10518732
30-09-2016,742,-0.032594524
31-12-2016,955,0.287061995
31-03-2017,732,-0.233507853
30-06-2017,768,0.049180328
30-09-2017,751,-0.022135417
31-12-2017,912,0.214380826
31-03-2018,663,-0.273026316
30-06-2018,1045,0.576168929
30-09-2018,1050,0.004784689
31-12-2018,936,-0.108571429
31-03-2019,1014,0.083333333
30-06-2019,1161,0.144970414
30-09-2019,1145,-0.013781223
31-12-2019,1354,0.182532751
31-03-2020,1107,-0.182422452
30-06-2020,1322,0.194218609
30-09-2020,1556,0.177004539
31-12-2020,1579,0.014781491
31-03-2021,1161,-0.264724509
30-06-2021,1182,0.018087855
30-09-2021,1044,-0.116751269
31-12-2021,1205,0.154214559
31-03-2022,993,-0.17593361
30-06-2022,1273,0.281973817
30-09-2022,982,-0.228593873
31-12-2022,1368,0.393075356
31-03-2023,1226,-0.10380117
30-06-2023,1327,0.082381729
30-09-2023,1232,-0.071590053
31-12-2023,1353,0.098214286
31-03-2024,1164,-0.139689579
30-06-2024,1332,0.144329897
30-09-2024,1211,-0.090840841
31-12-2024,1427,0.178364988
31-03-2025,1182,-0.171688858
30-06-2025,1272,0.076142132
30-09-2025,1200,-0.056603774
31-12-2025,1422,-0.185
