Date,Sales,GrowthRate
30-06-2015,1649,0.264570552
30-09-2015,1556,-0.056397817
31-12-2015,1975,0.269280206
31-03-2016,1491,-0.245063291
30-06-2016,1600,0.073105298
30-09-2016,1635,0.021875
31-12-2016,2032,0.242813456
31-03-2017,1491,-0.266240157
30-06-2017,1671,0.120724346
30-09-2017,1638,-0.019748654
31-12-2017,2092,0.277167277
31-03-2018,1530,-0.268642447
30-06-2018,1878,0.22745098
30-09-2018,1868,-0.005324814
31-12-2018,2201,0.178265525
31-03-2019,1722,-0.217628351
30-06-2019,2063,0.198025552
30-09-2019,2117,0.026175473
31-12-2019,2582,0.219650449
31-03-2020,1827,-0.292408985
30-06-2020,1919,0.050355774
30-09-2020,1971,0.027097447
31-12-2020,2458,0.247082699
31-03-2021,1856,-0.244914565
30-06-2021,2117,0.140625
30-09-2021,2154,0.017477563
31-12-2021,2508,0.164345404
31-03-2022,1911,-0.238038278
30-06-2022,1940,0.015175301
30-09-2022,2292,0.181443299
31-12-2022,2808,0.22513089
31-03-2023,2010,-0.284188034
30-06-2023,2112,0.050746269
30-09-2023,2201,0.042140152
31-12-2023,2497,0.134484325
31-03-2024,2026,-0.188626352
30-06-2024,2174,0.073050346
30-09-2024,2150,-0.011039558
31-12-2024,2440,0.134883721
31-03-2025,1965,-0.194672131
30-06-2025,2084,0.060559796
30-09-2025,2080,-0.001919386
31-12-2025,2403,-0.155288462
