Date,Sales,GrowthRate
30-06-2015,117,-0.133333333
30-09-2015,125,0.068376068
31-12-2015,126,0.008
31-03-2016,103,-0.182539683
30-06-2016,105,0.019417476
30-09-2016,117,0.114285714
31-12-2016,153,0.307692308
31-03-2017,92,-0.39869281
30-06-2017,96,0.043478261
30-09-2017,109,0.135416667
31-12-2017,119,0.091743119
31-03-2018,109,-0.084033613
30-06-2018,83,-0.23853211
30-09-2018,124,0.493975904
31-12-2018,233,0.879032258
31-03-2019,120,-0.484978541
30-06-2019,96,-0.2
30-09-2019,82,-0.145833333
31-12-2019,172,1.097560976
31-03-2020,90,-0.476744186
30-06-2020,84,-0.066666667
30-09-2020,79,-0.05952381
31-12-2020,138,0.746835443
31-03-2021,76,-0.449275362
30-06-2021,104,0.368421053
30-09-2021,153,0.471153846
31-12-2021,186,0.215686275
31-03-2022,176,-0.053763441
30-06-2022,133,-0.244318182
30-09-2022,135,0.015037594
31-12-2022,191,0.414814815
31-03-2023,132,-0.308900524
30-06-2023,194,0.46969697
30-09-2023,140,-0.278350515
31-12-2023,143,0.021428571
31-03-2024,157,0.097902098
30-06-2024,121,-0.229299363
30-09-2024,181,0.495867769
31-12-2024,152,-0.160220994
31-03-2025,140,-0.078947368
30-06-2025,120,-0.142857143
30-09-2025,140,0.166666667
31-12-2025,155,-0.107142857
