Date,Sales,GrowthRate
30-06-2015,1603,0.053219448
30-09-2015,1585,-0.011228946
31-12-2015,2041,0.287697161
31-03-2016,1610,-0.211170995
30-06-2016,1661,0.031677019
30-09-2016,1663,0.001204094
31-12-2016,2165,0.301864101
31-03-2017,1719,-0.206004619
30-06-2017,1761,0.02443281
30-09-2017,1650,-0.063032368
31-12-2017,2181,0.321818182
31-03-2018,1640,-0.248051353
30-06-2018,1282,-0.218292683
30-09-2018,1265,-0.01326053
31-12-2018,2216,0.751778656
31-03-2019,1295,-0.415613718
30-06-2019,1351,0.043243243
30-09-2019,1358,0.005181347
31-12-2019,1850,0.362297496
31-03-2020,1138,-0.384864865
30-06-2020,1069,-0.060632689
30-09-2020,805,-0.246959775
31-12-2020,1824,1.265838509
31-03-2021,734,-0.597587719
30-06-2021,827,0.126702997
30-09-2021,803,-0.029020556
31-12-2021,1045,0.301369863
31-03-2022,838,-0.198086124
30-06-2022,831,-0.008353222
30-09-2022,902,0.08543923
31-12-2022,1055,0.16962306
31-03-2023,798,-0.243601896
30-06-2023,836,0.047619048
30-09-2023,898,0.074162679
31-12-2023,1069,0.190423163
31-03-2024,790,-0.260991581
30-06-2024,834,0.055696203
30-09-2024,835,0.001199041
31-12-2024,1027,0.22994012
31-03-2025,811,-0.210321324
30-06-2025,862,0.062885327
30-09-2025,883,0.024361949
31-12-2025,1118,-0.266138165
